item_id	genres
0195153448	history_biography
0002005018	history_biography
0060973129	history_biography
0374157065	history_biography
0393045218	history_biography
0425176428	history_biography
0671870432	mystery_thriller_crime
0679425608	history_biography
1575663937	history_biography
0440234743	mystery_thriller_crime
0609804618	history_biography
0689821166	history_biography
0345402871	mystery_thriller_crime
0684823802	fantasy_paranormal
3442410665	history_biography
0446310786	history_biography
0449005615	history_biography
038078243X	mystery_thriller_crime
055321215X	romance
0553582909	mystery_thriller_crime
0671888587	mystery_thriller_crime
0553582747	mystery_thriller_crime
0425182908	mystery_thriller_crime
042518630X	mystery_thriller_crime,romance
0440225701	mystery_thriller_crime
0380715899	history_biography
0671623249	history_biography
0679810307	young_adult
0679865691	young_adult
0804106304	history_biography
1853260053	romance
0060938412	romance
0345465083	history_biography
0451625889	young_adult
0394895894	mystery_thriller_crime
1569871213	children
0375410538	mystery_thriller_crime
0060930365	history_biography,poetry
0060177586	history_biography
8445071408	fantasy_paranormal
8445071769	fantasy_paranormal
8445071777	fantasy_paranormal
0679429220	mystery_thriller_crime
0671867156	mystery_thriller_crime
0312252617	romance
0312261594	romance
0316748641	history_biography
0451166892	history_biography
0553347594	history_biography
067976397X	history_biography
0671521519	young_adult
0312953453	mystery_thriller_crime
0446608653	mystery_thriller_crime,romance
0446612545	mystery_thriller_crime
0446612618	romance
0451208080	mystery_thriller_crime
0553584383	mystery_thriller_crime
0671027360	mystery_thriller_crime
0743439740	mystery_thriller_crime
0451406923	mystery_thriller_crime
0671042858	mystery_thriller_crime
0840734530	fantasy_paranormal
0425184226	mystery_thriller_crime
0375500766	history_biography
9724119378	comics_graphic
0061099325	mystery_thriller_crime
0671004573	mystery_thriller_crime
0446601640	romance
038572179X	history_biography
0345425294	mystery_thriller_crime
0451410319	mystery_thriller_crime
0553583468	fantasy_paranormal,mystery_thriller_crime
0380778556	mystery_thriller_crime
0451525221	mystery_thriller_crime
0440949424	mystery_thriller_crime,young_adult
0505524996	romance
0140252800	mystery_thriller_crime
0451452755	fantasy_paranormal
0812575482	fantasy_paranormal
0060801263	history_biography
0671461494	fantasy_paranormal
039575514X	history_biography
0330332775	romance
0486284735	romance
